species	group	length	AR	wload	back	belly	ftype	sim	billcol	legcol	arrives	leaves	eggs	incub	ccare	diver	long-billed	webbed-feet	long-legs	wading-bird	plunge-dives	BMI	WSI	family	 forest-edges	 harbours	archipelago	coastal-meadows	fells	fields	forest-edges	forests	islets	lakes	marshland	meadows	nutrient-rich-lakes	pastures	ponds	reedbeds	sea-bays	sea-coast	shores	shrub-tundra	streams	wetlands	algae	berries	birds	carrion	chicks	clams	eggs	fish	frogs	garbage	grain	grass	hares	insects	invertebrates	larvae	lizards	molluscs	plants	rodents	seeds	shellfish	small-rodents	snails	snakes	squirrels	vertebrae	worms
harmaahaikara	ardeidae	long	small_AR		light-grey_back	greyish-white_belly	B	similar-looking_genders	yellow_billcol	brown_legcol	average_migration_arrival	late_migration_leaving		both_incub	both_ccare		long-billed		long-legs	wading-bird		skinny		ardeidae									habitat_islets				habitat_nutrient-rich-lakes				habitat_sea-bays										eats_chicks			eats_fish	eats_frogs														eats_small-rodents		eats_snakes			
kattohaikara	ardeidae	long		large_wload	black-white_back	white_belly	A	similar-looking_genders	red_billcol	red_legcol	average_migration_arrival	average_migration_leaving		both_incub	both_ccare		long-billed		long-legs	wading-bird				ardeidae												habitat_meadows		habitat_pastures								habitat_wetlands									eats_frogs					eats_insects									eats_small-rodents		eats_snakes			eats_worms
kanahaukka	accipitridae	long	small_AR		grey_back	black-white_belly	A	similar-looking_genders	black_billcol	yellow_legcol	early_migration_arrival	late_migration_leaving	few_eggs	F_incub	both_ccare							robust		accipitridae								habitat_forests																	eats_birds										eats_hares										eats_small-rodents			eats_squirrels		
varpushaukka	accipitridae		small_AR	small_wload	greyish-brown_back	black-white_belly	A	similar-looking_genders	bluish-grey_billcol	greenish-yellow_legcol	average_migration_arrival	average_migration_leaving		F_incub	both_ccare							skinny	long-winged	accipitridae								habitat_forests																	eats_birds																				eats_small-rodents					
hiirihaukka	accipitridae		small_AR		dark-brown_back	brown-white_belly	A	similar-looking_genders	yellow-black_billcol	yellow_legcol	early_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare								long-winged	accipitridae							habitat_forest-edges																				eats_chicks				eats_frogs											eats_rodents					eats_snakes			
mehiläishaukka	accipitridae	long	small_AR	small_wload	greyish-brown_back	brown-white_belly	A	similar-looking_genders	black_billcol	yellow_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare								long-winged	accipitridae	habitat_-forest-edges							habitat_forests																			eats_chicks		eats_eggs		eats_frogs					eats_insects									eats_small-rodents					
ruskosuohaukka	accipitridae			small_wload	dark-brown_back	brown_belly	A	different-looking_genders	black_billcol	yellow_legcol	average_migration_arrival	average_migration_leaving		F_incub	both_ccare								long-winged	accipitridae																habitat_reedbeds											eats_chicks				eats_frogs					eats_insects									eats_small-rodents					
sinisuohaukka	accipitridae		small_AR	small_wload	brown_back	brown-white_belly	A	different-looking_genders	yellow-black_billcol	yellow_legcol	average_migration_arrival	average_migration_leaving		F_incub	both_ccare							skinny	long-winged	accipitridae											habitat_marshland								habitat_shores			habitat_wetlands			eats_birds						eats_frogs					eats_insects									eats_small-rodents					
haarahaukka	accipitridae	long		small_wload	dark-brown_back	dark-brown_belly	A	similar-looking_genders	black_billcol	reddish-yellow_legcol	average_migration_arrival	average_migration_leaving	few_eggs	both_incub	both_ccare								long-winged	accipitridae							habitat_forest-edges					habitat_meadows							habitat_shores							eats_carrion				eats_fish	eats_frogs								eats_lizards						eats_small-rodents					
merikotka	accipitridae	long	small_AR		brown_back	brown_belly	A	similar-looking_genders	yellow_billcol	yellow_legcol	early_migration_arrival	late_migration_leaving	few_eggs	both_incub	both_ccare						plunge-dives	robust	long-winged	accipitridae										habitat_lakes								habitat_sea-coast							eats_birds	eats_carrion				eats_fish																				
